id,reviewId,creationDate,criticName,isTopCritic,originalScore,reviewState,publicatioName,reviewText,scoreSentiment,reviewUrl
terminator_2_judgment_day,2414989,2017-08-31,Nick Schager,True,,fresh,The Daily Beast,"Twenty-six years later, T2 has lost none of its thrilling power, feminist ferocity, and ominous foreboding-and seen on a big screen, it still puts most of its modern Hollywood progeny to shame.",POSITIVE,http://www.thedailybeast.com/the-best-blockbuster-movie-in-theaters-this-summer-is-from-1991
terminator_2_judgment_day,2414952,2017-08-31,Richard Roeper,True,4/4,fresh,Chicago Sun-Times,"Even though this movie was made nearly 30 years ago, almost nothing about it feels dated.",POSITIVE,http://chicago.suntimes.com/entertainment/now-in-3-d-brilliant-terminator-2-judgment-day-worth-a-fresh-look/
terminator_2_judgment_day,2412054,2017-08-21,Chuck Bowen,True,3/4,fresh,Slant Magazine,"Twenty-six years after its release on Independence Day weekend in 1991, it's difficult not to watch Terminator 2: Judgement Day through a scrim of irony.",POSITIVE,https://www.slantmagazine.com/film/review/terminator-2-judgement-day-3d
terminator_2_judgment_day,2338056,2016-07-07,Justin Clark,True,,fresh,Slant Magazine,Linda Hamilton gets so little due respect over the years for how much of the film's midsection rides on her.,POSITIVE,http://www.slantmagazine.com/house/article/summer-of-91-james-camerons-terminator-2-judgment-day
terminator_2_judgment_day,2270650,2015-07-04,Matt Brunson,False,3.5/4,fresh,Creative Loafing,An explosive sequel.,POSITIVE,http://clclt.com/charlotte/abbott-and-costello-meet-frankenstein-the-hand-that-rocks-the-cradle-terminator-box-set-among-new-home-entertainment-titles/Content?oid=2850185
terminator_2_judgment_day,2269959,2015-06-30,Mick LaSalle,True,,fresh,San Francisco Chronicle,"""The Terminator 2"" is movie-making on a massive scale, packed dense with spectacular touches that are too many to describe - escape scenes, helicopter stunts and huge explosions.",POSITIVE,http://blog.sfgate.com/mlasalle/2015/06/30/the-1991-review-of-terminator-2-judgment-day/
terminator_2_judgment_day,2269831,2015-06-30,Lynden Barber,True,,fresh,Sydney Morning Herald,"It proves that crackingly fast entertainment doesn't have to be mindless, and it manages to do so, with an endearingly cheeky sense of humour.",POSITIVE,http://www.smh.com.au/entertainment/movies/terminator-2-changed-the-rules-of-action-cinema-20150625-ghxcc2.html
terminator_2_judgment_day,2217329,2014-08-12,Gene Siskel,True,3/4,fresh,Chicago Tribune,"Best of all, though, the level of tension in the film is palpable because we can`t figure out how Arnold is going to terminate the Terminator.",POSITIVE,http://articles.chicagotribune.com/1991-07-05/entertainment/9103170080_1_terminator-star-mcclurg-court
terminator_2_judgment_day,2217327,2014-08-12,Roger Hurlburt,False,,fresh,South Florida Sun-Sentinel,"Cameron`s superb action direction and stunning visual effects -- plus Schwarzenegger`s ultimately endearing (yes, endearing) performance -- will blast every other summer film to kingdom come.",POSITIVE,http://articles.sun-sentinel.com/1991-07-03/features/9101240247_1_terminator-cyborg-linda-hamilton
terminator_2_judgment_day,2155617,2013-07-29,Rick Groen,True,,fresh,Globe and Mail,"A pop epiphany, marking that commercially creative point where the power of Hollywood meets the purity of myth.",POSITIVE,
terminator_2_judgment_day,2155611,2013-07-29,David Sterritt,False,,rotten,Christian Science Monitor,The best efforts of highly trained talents are not enough to save the picture from its own deep-rooted foolishness.,NEGATIVE,http://www.csmonitor.com/1991/0705/05101.html
terminator_2_judgment_day,2155591,2013-07-29,Derek Malcolm,True,,fresh,Guardian,"Cameron has done an honourable and undoubtedly skilful job of tailoring his new film to the tastes of the times without too much sloppy compromise. He's made a science fiction film with verve, imagination and even a little wit.",POSITIVE,http://www.guardian.co.uk/film/1991/aug/15/1
terminator_2_judgment_day,2155590,2013-07-29,Jay Boyar,True,4/5,fresh,Orlando Sentinel,"Terminator 2 does work viscerally, however, and with this kind of movie, that's really what counts. No problemo.",POSITIVE,http://articles.orlandosentinel.com/1991-07-03/lifestyle/9107020200_1_original-terminator-terminator-2-first-terminator
terminator_2_judgment_day,2155589,2013-07-29,Lou Cedrone,False,2/4,rotten,Baltimore Sun,"These are very special special effects, but that's about all the film is, special effects.",NEGATIVE,http://articles.baltimoresun.com/1991-07-03/features/1991184137_1_charles-bronson-terminator-2-special-effects
terminator_2_judgment_day,2155588,2013-07-29,Dave Kehr,True,3/4,fresh,Chicago Tribune,"The pathos of the film is the pathos of its leading character -- it is a magnificent machine, but a machine it remains.",POSITIVE,http://articles.chicagotribune.com/1991-07-03/features/9103160358_1_terminator-director-james-cameron-expensive-movie
terminator_2_judgment_day,2155587,2013-07-29,Kenneth Turan,True,,fresh,Los Angeles Times,"More elaborate than the original, but just as shrewdly put together, it cleverly combines the most successful elements of its predecessor with a number of new twists to produce one hell of a wild ride.",POSITIVE,http://articles.latimes.com/1991-07-03/entertainment/ca-1467_1_arnold-schwarzenegger
terminator_2_judgment_day,2155586,2013-07-29,Terrence Rafferty,True,,rotten,New Yorker,"The picture is full of spectacular action sequences and dazzling special effects, but the narrative doesn't have the snap of the original's: it's lumbering and monotonous, and it carries a heavy-handed anti-nuke message.",NEGATIVE,http://www.newyorker.com/arts/reviews/film/terminator_2_judgment_day_cameron
terminator_2_judgment_day,2155585,2013-07-29,Ralph Novak,False,,rotten,People Magazine,"Shamefully sadistic, achingly dull and totally predictable, it rehashes the far superior 1984 original.",NEGATIVE,"http://www.people.com/people/archive/article/0,,20115455,00.html"
terminator_2_judgment_day,2155584,2013-07-29,Gary Thompson,False,3/4,fresh,Philadelphia Daily News,This new picture is optimistically humanist.,POSITIVE,http://articles.philly.com/1991-07-03/news/25783188_1_sarah-connor-terminator-android
terminator_2_judgment_day,2155583,2013-07-29,Carrie Rickey,True,3/4,fresh,Philadelphia Inquirer,Inside Terminator 2 beats a human heart. But its soul is that of a killer machine.,POSITIVE,http://articles.philly.com/1991-07-03/news/25782043_1_terminators-james-cameron-cyborg
terminator_2_judgment_day,2155582,2013-07-29,Alan Jones,False,5/5,fresh,Radio Times,Linda Hamilton turns in another terrific performance as the fiercely committed heroine who puts a necessary human face on Cameron's high-decibel mayhem and pyrotechnical bravura.,POSITIVE,http://www.radiotimes.com/film/v47m/
terminator_2_judgment_day,2155581,2013-07-29,Michael Upchurch,True,3/4,fresh,Seattle Times,"Schwarzenegger is in impeccable deadpan form, milking his tough-guy image for all it's worth and getting laughs out of the Terminator's wooden parroting of slang (""No problemo"" probably will be a catch-phrase to reckon with this summer).",POSITIVE,http://community.seattletimes.nwsource.com/archive/?date=19910703&slug=1292479
terminator_2_judgment_day,2114369,2012-11-12,Rob Humanick,True,4/4,fresh,Slant Magazine,Set the standard for modern Hollywood's F/X-driven mega-productions and cemented James Cameron's dystopian vision as modern science-fiction's saga par excellence.,POSITIVE,http://www.slantmagazine.com/film/feature/the-100-best-films-of-the-1990s/334/page_4
terminator_2_judgment_day,2096704,2012-07-26,Emanuel Levy,False,B,fresh,EmanuelLevy.Com,,POSITIVE,
terminator_2_judgment_day,1995334,2011-07-05,Brian Orndorf,False,A,fresh,BrianOrndorf.com,"With all the time-travel and cyborg collision going on, Cameron does a fine job believing in his logic. Even if the math doesn't always add up, it's easy to be swept up by this audacious movie.",POSITIVE,http://www.brianorndorf.com/2011/07/reliving-the-summer-of-1991-diary-week-seven.html
terminator_2_judgment_day,1950387,2011-01-01,David Gurney,False,4/5,fresh,Common Sense Media,"Tons of action, violence, and special effects.",POSITIVE,http://www.commonsensemedia.org/movie-reviews/Terminator-2-Judgment-Day.html
terminator_2_judgment_day,1869275,2010-02-04,Owen Gleiberman,True,B+,fresh,Entertainment Weekly,"Terminator 2 is a state-of-the-art action movie, all right: It gets you thinking that the most reasonable thing might just have been to blow everyone away.",POSITIVE,"http://www.ew.com/ew/article/0,,314769,00.html"
terminator_2_judgment_day,1861016,2009-12-16,Tim Brayton,False,8/10,fresh,Antagony & Ecstasy,"It's just not as good a film as The Terminator, despite soundly surpassing it in a few areas.",POSITIVE,http://antagonie.blogspot.com/2009/12/james-cameron-terminator-2-judgment-day.html
terminator_2_judgment_day,1823096,2009-05-25,Peter Canavese,False,4/4,fresh,Groucho Reviews,"Pulls out the stops, setting the gold standard for expensive, explosive summer blockbusters.",POSITIVE,http://www.grouchoreviews.com/reviews/1248
terminator_2_judgment_day,1822579,2009-05-22,Jeffrey M. Anderson,False,,fresh,Combustible Celluloid,"Cameron directs with a huge amount of style and personality, effortlessly jumping from the $6.4 million original to the $88 million sequel.",POSITIVE,http://www.combustiblecelluloid.com/classic/terminator2.shtml
terminator_2_judgment_day,1822354,2009-05-21,David Nusair,False,4/4,fresh,Reel Film Reviews,...one of the most indelible examples of the contemporary action film...,POSITIVE,http://www.reelfilm.com/jamescam.htm#2
terminator_2_judgment_day,1821842,2009-05-18,Richard Corliss,True,,rotten,TIME Magazine,"A humongous, visionary parable that intermittently enthralls and ultimately disappoints. T2 is half of a terrific movie -- the wrong half.",NEGATIVE,"http://www.time.com/time/magazine/article/0,9171,973344,00.html"
terminator_2_judgment_day,1821841,2009-05-18,David Ansen,True,,fresh,Newsweek,"For all its state-of-the-art pyrotechnics and breathtaking thrills, this bruisingly exciting movie never loses sight of its humanity. That's its point, and its pride.",POSITIVE,http://www.newsweek.com/id/128229
terminator_2_judgment_day,1745910,2008-08-02,Kevin McCarthy,False,5/5,fresh,BDK Reviews,The special effects from this 1991 classic action flick still hold up in today's world. T2 is a timeless classic that will live on forever.,POSITIVE,
terminator_2_judgment_day,1726714,2008-05-08,Variety Staff,True,,fresh,Variety,"Arnold Schwarzenegger is more comfortable and assured here than the first time around, reprising a role so perfectly suited to the voice and physique that have established him as a larger-than-life film persona.",POSITIVE,http://www.variety.com/review/VE1117795543.html?categoryid=31&cs=1
terminator_2_judgment_day,1674198,2007-09-23,Rob Gonsalves,False,A,fresh,Rob's Movie Vault,A fireworks grand finale that never stops&#46;,POSITIVE,https://robsmovievault.wordpress.com/1991/07/03/terminator-2-judgment-day/
terminator_2_judgment_day,1635566,2007-05-30,John J. Puccio,False,9/10,fresh,Movie Metropolis,...a milestone in the evolution of action films and their now-omnipresent computer-generated imagery.,POSITIVE,http://moviemet.com/review/terminator-anthology-blu-ray-review
terminator_2_judgment_day,1603931,2007-03-01,Jonathan Rosenbaum,True,,fresh,Chicago Reader,"As a fancy mechanism fueled by the pleasure of watching legions of people and equipment being summarily destroyed, this is pretty hot stuff.",POSITIVE,http://www.chicagoreader.com/chicago/terminator-2-judgment-day/Film?oid=6726967
terminator_2_judgment_day,1585551,2007-02-10,David Medsker,False,4.5/5,fresh,Bullz-Eye.com,"It's big and clever, and one could argue that even Skynet would appreciate its technical skill.",POSITIVE,http://www.bullz-eye.com/mguide/reviews_1991/terminator_2_judgment_day.htm
terminator_2_judgment_day,1520471,2006-06-24,Geoff Andrew,True,,fresh,Time Out,"Structured as a simple chase, the story sags midway, but the first hour and last 30 minutes display an enjoyably relentless bravura.",POSITIVE,http://www.timeout.com/film/reviews/79081/terminator_2-judgment_day.html
terminator_2_judgment_day,1191370,2003-08-27,Ken Hanke,False,3/5,fresh,"Mountain Xpress (Asheville, NC)","Oh, it's well made. It's also overproduced and overlong and the ultimate in the effects-driven movie syndrome.",POSITIVE,
terminator_2_judgment_day,1177898,2003-07-23,Ian Mantgani,False,4/4,fresh,UK Critic,"At the end of both movies, I find myself overcome by an extraordinary swell of emotion.",POSITIVE,
terminator_2_judgment_day,1141089,2003-05-20,Janet Maslin,True,,fresh,New York Times,"Mr. Cameron has made a swift, exciting special-effects epic that thoroughly justifies its vast expense and greatly improves upon the first film's potent but rudimentary visual style.",POSITIVE,
terminator_2_judgment_day,1120772,2003-03-23,Robert Roten,False,4/4,fresh,Laramie Movie Scope,"Despite all the special effects and stunts, it is the character development and the nice way the three principal actors work together that makes the film effective.",POSITIVE,http://www.lariat.org/AtTheMovies/old/terminat2.html
terminator_2_judgment_day,1119501,2003-03-19,Brian Mckay,False,5/5,fresh,eFilmCritic.com,"Arnold Schwarznegger is still the ultimate leathers-wearing, Harley-riding, lever-action shotgun-toting bad-***",POSITIVE,http://efilmcritic.com/review.php?movie=232&reviewer=258
terminator_2_judgment_day,832099,2003-01-09,Michael Szymanski,False,4/5,fresh,Zap2it.com,,POSITIVE,
terminator_2_judgment_day,811570,2002-11-12,Nicolas Lacroix,False,4/5,fresh,Showbizz.net,,POSITIVE,
terminator_2_judgment_day,794977,2002-10-11,Christopher Smith,False,5/5,fresh,Bangor Daily News (Maine),,POSITIVE,
terminator_2_judgment_day,778285,2002-09-09,Ryan Cracknell,False,89/100,fresh,Apollo Guide,"As appealing as the film's visuals are, it's really the heart and soul of the characters that make T2 transcend the summer sequel dumping ground.",POSITIVE,
terminator_2_judgment_day,754143,2002-08-13,Rob Vaux,False,5/5,fresh,Flipside Movie Emporium,"Less a sequel than a reimagining, an alternate and equally compelling take on the dark vision of the original.",POSITIVE,
terminator_2_judgment_day,300370,2002-04-03,Rumsey Taylor,False,,fresh,Not Coming to a Theater Near You,"The film contains every established action device: exploding buildings (when a car is no longer enough), apocalyptic threat (a perennial theme in Cameron's work), and a villain with no apparent vulnerability.",POSITIVE,http://www.notcoming.com/reviews.php?id=216
terminator_2_judgment_day,262878,2001-11-03,Almar Haflidason,True,5/5,fresh,BBC.com,"They enhance the movie by introducing dangerous threats to the survival of the heroes, while retaining the all-important physical essence of the fear of the chase that made the first film so exciting.",POSITIVE,http://www.bbc.co.uk/films/2001/10/30/terminator2_1991_review.shtml
terminator_2_judgment_day,221440,2001-05-12,Peter Travers,True,3/4,fresh,Rolling Stone,"It's Cameron's show; he's the reigning king of movie pow, with dark wit and a poet's eye for mayhem. T2 cost a reported $100 million, and you can actually see where the money went.",POSITIVE,http://www.rollingstone.com/movies/reviews/terminator-2-judgment-day-19910703
terminator_2_judgment_day,24967,2000-01-01,Joe Brown,True,,fresh,Washington Post,"Brutally beautiful, darkly comic sci-fi",POSITIVE,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/terminator2judgmentdayrbrown_a0adce.htm
terminator_2_judgment_day,764992,2000-01-01,Mark R. Leeper,False,+1 out of -4..+4,fresh,rec.arts.movies.reviews,"Like Mt. Rushmore, it is huge and a must-see, but one wonders if it really was such a good idea in the first place.",POSITIVE,http://reviews.imdb.com/Reviews/10/1059
terminator_2_judgment_day,24968,2000-01-01,Hal Hinson,True,,fresh,Washington Post,"It's a tank of a movie, big, powerful and hard to resist.",POSITIVE,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/terminator2judgmentdayrhinson_a0a6c4.htm
terminator_2_judgment_day,24988,2000-01-01,Marc Savlov,True,3/5,fresh,Austin Chronicle,"It's an ambitious film that sometimes gets ahead of itself action-wise, but Cameron is a relentlessly good action-adventure auteur who manages to pull it off once again.",POSITIVE,http://www.austinchronicle.com/gyrobase/Calendar/Film?Film=oid%3a139549
terminator_2_judgment_day,24985,2000-01-01,James O'Ehley,False,4/4,fresh,Sci-Fi Movie Page,This is Hollywood high art: it has all the spectacular special effects and awesome stunts that only tinsel town infrastructure (i.e. big bucks) can produce and nobody else.,POSITIVE,http://www.scifimoviepage.com/term2.html
terminator_2_judgment_day,24966,2000-01-01,Kim Newman,True,5/5,fresh,Empire Magazine,"It's less satisfying than the more idea-driven original, but this is still top-flight kick-ass entertainment.",POSITIVE,http://www.empireonline.com/reviews/review.asp?FID=2700
terminator_2_judgment_day,24986,2000-01-01,Ted Prigge,False,4/4,fresh,rec.arts.movies.reviews,"Arnold is pretty much at his best here, combining zombie-like creepiness with some human depths that are meticulously added in the right places.",POSITIVE,http://reviews.imdb.com/Reviews/96/9665
terminator_2_judgment_day,24997,2000-01-01,Chris Hicks,False,,fresh,Deseret News (Salt Lake City),"Has more than enough story, action, thrills and eye-popping special effects to satisfy even the most numbed moviegoers.",POSITIVE,http://www.deseretnews.com/article/700001819/Terminator-2-Judgment-Day.html
terminator_2_judgment_day,24984,2000-01-01,Tim Dirks,False,A+,fresh,Filmsite,"Terminator 2: Judgment Day (1991) is the well-executed, action-packed sequel to the earlier film of the same name. Arnold Schwarzenegger's Terminator (cyborg) character of the first film, The Terminator (1984) told everyone: ""I'll be back"" -",POSITIVE,http://www.filmsite.org/term2.html
terminator_2_judgment_day,24998,2000-01-01,Christopher Null,False,4/5,fresh,Filmcritic.com,"A true classic, though I still miss the grit and nuance of the original.",POSITIVE,
terminator_2_judgment_day,24965,2000-01-01,Roger Ebert,True,3.5/4,fresh,Chicago Sun-Times,"Nobody, I think, will complain that it doesn't have enough action.",POSITIVE,http://www.rogerebert.com/reviews/terminator-2-judgment-day-1991
terminator_2_judgment_day,1911520,1991-07-03,James Berardinelli,True,3.5/4,fresh,ReelViews,Few films have matched it within the science fiction genre for sheer white-knuckle exhilaration.,POSITIVE,http://www.reelviews.net/php_review_template.php?identifier=1632
terminator_2_judgment_day,1911522,1991-07-03,Scott Nash,False,4/4,fresh,Three Movie Buffs,This is that rare sequel that enhances the franchise.,POSITIVE,http://www.threemoviebuffs.com/review/terminator2judgmentday
titans_of_the_ice_age_3d,2338266,2016-07-07,Janet Smith,False,,fresh,Georgia Straight,"The real draw of Titans of the Ice Age, and what sets it apart from so much epic-screen edutainment, is its deep, years-long level of research -- and its ability to convey it in a hugely accessible way.",POSITIVE,http://www.straight.com/movies/729491/titans-ice-age-brings-life-truly-epic-beasts
titans_of_the_ice_age_3d,2188824,2014-02-17,Linda Cook,False,4/4,fresh,"Quad City Times (Davenport, IA)","This is one of the best uses of computer-generated imagery, or CGI, you'll ever see. And the 3-D technique makes the animals seem even more alive in 'Titans of the Ice Age 3D,' which is wonderfully narrated by Christopher Plumme",POSITIVE,http://qctimes.com/entertainment/columnists/linda-cook/cgi-movie-at-putnam-shows-ice-age-was-worse/article_2bbc2628-9801-11e3-812b-001a4bcf887a.html
ice_age_the_great_egg_scapade,2316015,2016-03-22,Emily Ashby,False,4/5,fresh,Common Sense Media,Springtime fun and laughs from friendly prehistoric herd.,POSITIVE,https://www.commonsensemedia.org/tv-reviews/ice-age-the-great-egg-scapade
the_ice_age_adventures_of_buck_wild,102766508,2023-01-05,Jason Flatt,False,,fresh,But Why Tho? A Geek Community,The Ice Age Adventures of Buck Wild is a perfectly enjoyable entry in the Ice Age franchise with nice morals and comedy that doesn&#8217;t get especially grating&#46; The animation is just a bit uneven&#46;,POSITIVE,https://butwhytho.net/2022/01/29/review-the-ice-age-adventures-of-buck-wild-keeps-the-franchise-fresh/
the_ice_age_adventures_of_buck_wild,102765393,2022-12-31,Rachel Wagner,False,,rotten,Rachel's Reviews (YouTube),I never thought I would be longing for the days of Ice Age Collision Course but this made me do just that&#46; ,NEGATIVE,https://youtu.be/fhyistA9CAY
the_ice_age_adventures_of_buck_wild,102672789,2022-03-25,James Croot,False,1.5/5,rotten,Stuff.co.nz,A ploddingly predictable trip back into familiar territory.,NEGATIVE,https://www.stuff.co.nz/entertainment/stuff-to-watch/300547630/no-stars-no-scrat-no-point-its-disneys-the-ice-age-adventures-of-buck-wild
the_ice_age_adventures_of_buck_wild,102672307,2022-03-24,Emma Simmonds,False,2/5,rotten,Radio Times,"The sixth instalment in the Ice Age franchise, and the first to go straight to streaming, marks a sad turning point.",NEGATIVE,https://www.radiotimes.com/movie-guide/b-hj5zmw/the-ice-age-adventures-of-buck-wild/
the_ice_age_adventures_of_buck_wild,102662375,2022-02-28,Sean Chandler,False,D,rotten,Sean Chandler Talks About,A cheap looking and lame continuation of the Ice Age franchise with virtually nothing new to offer.,NEGATIVE,https://www.youtube.com/watch?v=9COoeIVxK6Q
the_ice_age_adventures_of_buck_wild,102657407,2022-02-15,Mat Brunet,False,3/10,rotten,AniMat's Review (YouTube),The Ice Age Adventures of Buck Wild brings back the feeling of those direct-to-home media animated sequels where Disney produced an unappealing and unnecessary movie that's only made to cash in on the success of the original.,NEGATIVE,https://youtu.be/hHRGUamAJS4
the_ice_age_adventures_of_buck_wild,102657105,2022-02-15,Johnny Loftus,False,,rotten,Decider,"The Ice Age Adventures of Buck Wild feels like a tangent, or perhaps a try-out pilot for a small screen Crash & Eddie ‘toon. What it doesn’t feel like is a feature film.",NEGATIVE,https://decider.com/2022/02/12/ice-age-adventures-of-buck-wild-disney-review-stream-it-or-skip-it/
the_ice_age_adventures_of_buck_wild,102653002,2022-02-07,Jesse Hassenger,True,D+,rotten,AV Club,"Gone are the original animators, the core voice cast, Scrat, and the fun.",NEGATIVE,https://www.avclub.com/ice-age-buck-wild-review-1848425731
the_ice_age_adventures_of_buck_wild,102652394,2022-02-04,Julian Lytle,False,D,rotten,idobi.com,The Ice Age Adventures of Buck Wild is a barely serviceable entry to the long-running family franchise. It looks unfinished and maybe shouldve been shelved or at least given more production time.,NEGATIVE,https://idobi.com/ent-review/film-review-the-ice-age-adventures-of-buck-wild/
the_ice_age_adventures_of_buck_wild,102652277,2022-02-04,Courtney Lanning,False,,fresh,Arkansas Democrat-Gazette,"This film is all about creating a playground for two wacky opossums to have some low-stakes high jinks. It's a perfect distraction for the kids, and it won't offend any adults watching, either.",POSITIVE,https://www.arkansasonline.com/news/2022/feb/04/buck-wild-surprisingly-harmless
the_ice_age_adventures_of_buck_wild,102651601,2022-02-03,Julian Roman,False,1.5/5,rotten,MovieWeb,The Ice Age Adventures of Buck Wild is a dreadfully humorless installment in a CGI franchise thats long run its course. ,NEGATIVE,https://movieweb.com/the-ice-age-adventures-of-buck-wild-review/
the_ice_age_adventures_of_buck_wild,2856693,2022-02-01,Jennifer Green,False,3/5,fresh,Common Sense Media,"If you enjoy 80 straight minutes of animated action interspersed with witty one-liners and some positive life lessons, or if you're just a fan of the Ice Age franchise, then this movie is for you.",POSITIVE,https://www.commonsensemedia.org/movie-reviews/the-ice-age-adventures-of-buck-wild
the_ice_age_adventures_of_buck_wild,2856680,2022-02-01,Shawn Edwards,False,,rotten,Fox 4 Kansas City,It felt like 100 years watching.,NEGATIVE,https://www.youtube.com/watch?v=3qcWnNGw2-w&list=PLYIuAMO7HHjjMBXV3sEz6ssmoX3rvevyL&index=2
the_ice_age_adventures_of_buck_wild,2856647,2022-02-01,Leo Brady,False,1/4,rotten,AMovieGuy.com,"Although the word Adventure is in the title, there's little to enjoy in this mundane, and easily forgettable trip back to the Ice Age.",NEGATIVE,https://amovieguy.com/2022/01/the-ice-age-adventures-of-buck-wild/
the_ice_age_adventures_of_buck_wild,2856615,2022-02-01,Austin Burke,False,2/10,rotten,Austin Burke/Flick Fan Nation,To see where this series has gone and the drop in quality... It looks and feels cheap.,NEGATIVE,https://youtu.be/Se3hGlpFauY
the_ice_age_adventures_of_buck_wild,2856305,2022-01-31,Douglas Laman,False,,rotten,The Spool,"Disney's boring, flat, and muddled Ice Age spinoff is a callow, mercenary affair.",NEGATIVE,https://thespool.net/reviews/movies/the-ice-age-adventures-of-buck-wild-movie-review/
